standardised_income_difficulties_cant_afford_night_out__synthetic_estimates, median_equivalised_household_income_synthetic_estimates, standardised_income_difficulties_access_money_synthetic_estimates, standardised_gini_coefficient_synthetic_estimates, standardised_leaving_low_income_from_benefit__synthetic_estimates, income_difficulties_cant_afford_night_out__synthetic_estimates, gini_coefficient_synthetic_estimates, median_disposable_household_income_synthetic_estimates, poverty_rate_synthetic_estimates, standardised_poverty_rate_synthetic_estimates, sa2_main11, standardised_median_disposable_household_income_synthetic_estimates, income_difficulties_access_money_synthetic_estimates, standardised_median_equivalised_household_income_synthetic_estimates, sa2_name11, leaving_low_income_from_benefit__synthetic_estimates
0.615256357,1100.4,0.611125296,1.138083917,1.097010569,11.2,0.32,1718.0,3.5,0.363311579,701011009,1.604441622,8.0,1.740888667,"Woolner - Bayview - Winnellie",24.14
0.49440243,1009.2,0.70279409,0.995823427,1.048385826,9.0,0.28,1557.2,3.0,0.311409925,701011008,1.454270369,9.2,1.596605636,"Stuart Park",23.07
0.593282916,1044.8,0.931966076,1.173649039,1.33967985,10.8,0.33,1609.2,7.6,0.788905142,701011007,1.502833212,12.2,1.652926644,"Parap",29.48
1.153605669,741.4,1.46670071,1.173649039,1.197895551,21.0,0.33,1417.8,9.8,1.01727242,701011006,1.324084594,19.2,1.17293244,"Ludmilla - The Narrows",26.36
0.472428988,1120.6,0.748628487,1.138083917,1.254700158,8.6,0.32,1614.6,5.8,0.602059188,701011005,1.507876277,9.8,1.772846092,"Larrakeyah",27.61
0.637229798,979.4,1.069469268,1.244779284,1.30786927,11.6,0.35,1551.4,7.2,0.747383819,701011004,1.448853744,14.0,1.549460524,"Fannie Bay - The Gardens",28.78
null,null,null,null,null,null,null,null,null,null,701011003,null,null,null,"East Point",null
0.593282916,1062.4,0.840297282,1.138083917,1.378761419,10.8,0.32,1546.0,7.0,0.726623157,701011002,1.44381068,11.0,1.680770737,"Darwin City",30.34
1.16459239,647.2,1.023634871,0.995823427,0.977493676,21.2,0.28,1069.6,10.0,1.038033082,602021056,0.998900325,13.4,1.023903258,"Hadspen - Carrick",21.51
1.120645507,603.8,0.901409811,1.066953672,1.01884743,20.4,0.3,994.6,11.5,1.193738044,602021055,0.928857763,11.8,0.955242255,"Grindelwald - Lanena",22.42
1.362353362,497.4,1.237528724,1.066953672,1.073379853,24.8,0.3,758.0,17.3,1.795797232,602021054,0.707896827,16.2,0.786912053,"Deloraine",23.62
1.373340082,486.4,1.268084989,1.102518795,1.047476952,25.0,0.31,730.8,17.4,1.806177563,602021053,0.682494725,16.6,0.769509494,"Beauty Point - Beaconsfield",23.05
1.131632228,641.0,1.008356738,1.03138855,0.993853403,20.6,0.29,1047.4,8.8,0.913469112,602011052,0.978167727,13.2,1.014094543,"Youngtown - Relbia",21.87
1.318406479,736.8,1.359753783,1.244779284,1.099282753,24.0,0.35,1335.8,13.9,1.442865984,701021012,1.247504726,17.8,1.165655007,"Berrimah",24.19
1.120645507,669.4,1.14585993,1.066953672,1.017484119,20.4,0.3,1032.6,10.2,1.058793744,602011051,0.964345995,15.0,1.059024785,"West Launceston",22.39
1.043738462,795.8,1.451422578,0.995823427,1.23561381,19.0,0.28,1501.4,7.9,0.820046135,701041037,1.402158703,19.0,1.258996002,"Driver",27.19
null,null,null,null,null,null,null,null,null,null,701011001,null,null,null,"Darwin Airport",null
1.604061216,508.4,1.772263358,1.03138855,1.077015347,29.2,0.29,820.4,17.1,1.77503657,602011050,0.766172239,23.2,0.804314611,"Waverley - St Leonards",23.7
1.065711904,708.8,1.054191135,1.03138855,1.005668761,19.4,0.29,1152.6,8.4,0.871947789,602011049,1.076414094,13.8,1.121357585,"Trevallyn",22.13
1.373340082,571.8,1.390310048,0.960258305,1.001124393,25.0,0.27,901.0,10.9,1.131456059,602011048,0.841444646,18.2,0.90461663,"Summerhill - Prospect",22.03
1.131632228,648.2,1.054191135,1.066953672,1.012939751,20.6,0.3,1072.0,8.8,0.913469112,602011046,1.001141687,13.8,1.025485309,"Riverside",22.29
2.021556601,409.8,2.811176361,0.924693183,1.092920637,36.8,0.26,656.2,26.0,2.698886013,602011045,0.612825723,36.8,0.648324405,"Ravenswood",24.05
1.153605669,624.8,1.161138062,1.03138855,1.027027293,21.0,0.29,1007.2,9.9,1.027652751,602011044,0.940624914,15.2,0.988465321,"Prospect Vale - Blackstone",22.6
1.274459596,592.0,1.252806857,1.066953672,1.104735996,23.2,0.3,888.0,14.1,1.463626646,604031097,0.829303935,16.4,0.936574055,"West Coast (Tas.)",24.31
1.263472876,573.6,1.115303665,1.102518795,1.090194016,23.0,0.31,941.6,14.2,1.474006976,604031096,0.879361019,14.6,0.907464321,"Waratah",23.99
1.417286965,548.4,1.46670071,0.995823427,1.013848624,25.8,0.28,867.2,13.4,1.39096433,604031095,0.809878798,19.2,0.867596642,"Smithton",22.31
